address,restaurant_name,online_order,book_table,rating,votes,phone,location,restaurant_type,dishes_liked,cuisines,approx_cost_for_two_people
"41, 1st Main, Jakkasandra Road, Near Wipro Park, Koramangala 1st Block, Bangalore",Punjabi Nawabi,Yes,No,3.8,98,+91 9599698659,Koramangala 1st Block,Casual Dining,"Dal Makhani, Tikka, Saag, Naan, Makke Ki Roti",North Indian,400
"240, 19th Main, Sector 4, HSR, Bangalore",Shree Muthahalli Veg,Yes,No,4.1,840,"+91 8884695222
+91 9738284866",HSR,Quick Bites,"Rava Idli, Filter Coffee, Tea, Vada, Paper Masala Dosa, Donne Biryani","South Indian, North Indian, Chinese, Juices, Ice Cream",300
"77/1, 24th Main, 2nd Phase, JP Nagar, Bangalore",Shanthi Sagar,Yes,No,3.6,519,+91 8217521220,JP Nagar,Casual Dining,"Coffee, Mushroom Masala, Masala Dosa, Palak Paneer","South Indian, North Indian, Chinese",400
"Eat Street, 419, 80 Feet Road, Koramangala 6th Block, Bangalore",Chaat Street,Yes,No,4.0,293,080 49652608,Koramangala 6th Block,Kiosk,"Pav Bhaji, Panipuri, Raj Kachori, Papdi Chaat, Samosa Chaat, Bhel Puri, Vada Pav","Street Food, North Indian",250
"56, 7th Main, Yellappa Layout, 2nd Stage, BTM, Bangalore",Paratha Junction,Yes,No,2.9,177,+91 9535673059,BTM,Quick Bites,"Paratha, Kadai Paneer","North Indian, Chinese",300
"#88.KK center Jyoti nivas collage road,Industrial Area, Koramangala 5th Block, Bangalore 560094",Bathinda Junction,Yes,Yes,4.1,1242,+91 9886101619,Koramangala 5th Block,Casual Dining,"Butter Chicken, Kadhai Murgh, Rajma Chawal, Kadhai Paneer, Makke Ki Roti, Sweet Lassi, Dal Makhani",North Indian,600
"14, 29th Main, 100 Feet Road, 1st Stage, BTM, Bangalore",Sri Vishnu Park,Yes,No,3.8,99,080 49702828,BTM,Casual Dining,Masala Dosa,"South Indian, North Indian, Chinese",350
"3rd Cross Road, Venkateshwara Layout, Suddagunte Palya, BTM, Bangalore",The Biriyani Pedia,Yes,No,3.9,56,+91 9809202588,BTM,Quick Bites,"Chicken Stew, Ghee Rice, Chai, Beef Biryani",Biryani,300
"143/A, 60 Feet Road, Koramangala 5th Block, Bangalore",Anand Sweets And Savouries,Yes,No,4.2,1076,"080 25631555
080 41104466",Koramangala 5th Block,Sweet Shop,"Chaat, Rasmalai, Motichoor Ladoo, Thali, Pav Bhaji, Paneer Tikka, Chole Bhature","Mithai, Street Food",400
"3 Venkoji Roa Kkhane, Behind Salarpuria Apartment, Mangammapalya Main Road, HSR, Bangalore",Madeena Hotel,Yes,No,3.9,236,"+91 8048665361
+91 9738458647",HSR,Quick Bites,Ghee Rice,"North Indian, Mughlai, Biryani",400
"915, 24th Main Road, 2nd Phase, Mayura Circle, JP Nagar, Bangalore",Paradise,Yes,No,4.0,1986,"+91 9513477574
+91 9901842605",JP Nagar,Casual Dining,"Kalmi Kabab, Hyderabadi Dum Biryani, Vegetable Biryani, Haleem, Supreme Mutton Biryani, Paneer Tikka, Hyderabadi Mutton Biryani","Biryani, North Indian, Kebab",800
"Shop 1, 129, 24th Main, 5th Phase, JP Nagar, Bangalore",Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Yes,No,3.6,45,"+91 9880101051
+91 9742661909",JP Nagar,Quick Bites,"Fruit Custard, Russian Cutlet",Bohri,300
"15, 16th Main Road, Tavarekere Road, BTM, Bangalore",Ghee Biryanis,Yes,No,3.4,137,+91 9742044034,BTM,"Takeaway, Delivery",Biryani,"Biryani, North Indian",500
"Liss Arcade, 16th Main Road, 2nd Stage, BTM, Bangalore",BOX8- Desi Meals,Yes,No,4.3,385,022 33552698,BTM,"Takeaway, Delivery","Dal Makhani, Paratha, Salad, Rajma, Biryani, Brownie, Salads","North Indian, Mughlai, Fast Food",500
"Ground & First Floor, 30, Sector 4, 14th Main Road, Opposite BDA Complex, HSR, Bangalore",KFC,Yes,No,3.6,621,080 33994444,HSR,Quick Bites,"Burgers, Crispy Chicken, Fiery Chicken, Chicken Wings, Chicken Grill, Rice Bowl, Hot Wings","Burger, Fast Food",400
"77, Near Ayyappa Temple, Hosur Main Road, Madiwala, BTM, Bangalore",Krishna Sagar,Yes,No,3.9,52,+91 9844610631,BTM,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese",300
"Liss Arcade, 16th Main Road, 2nd Stage, BTM, Bangalore",Mojo Pizza - 2X Toppings,Yes,No,4.3,475,022 33252828,BTM,"Takeaway, Delivery","Veggie Pizza, Garlic Bread, Cheesy Pizza, Chicken Pizza, Thin Crust Pizza, Chocolava",Pizza,600
"72/33, 80 Feet Road, 4th Block, Koramangala 4th Block, Bangalore",Savitha Family Restaurant,Yes,No,4.0,196,"080 25505786
080 25500333",Koramangala 4th Block,Quick Bites,"Butter Naan, Tandoori Chicken, Chicken Tikka Masala, Malai Kofta, Biryani, Wheat Paratha, Noodles",North Indian,500
"337, 1st B Main Road, Koramangala 7th Block, Bangalore",Nutri Rich,Yes,No,3.8,53,+91 8043761506,Koramangala 7th Block,Quick Bites,"Pizza, Spinach Curry, Salad",Healthy Food,350
"14/6, 9th Main Road, Opposite Water Tank, 100 Feet Road, 2nd Stage, BTM, Bangalore",Mahesh Friends Food Center,Yes,No,2.9,127,+91 9731081364,BTM,Quick Bites,Lassi,"Chinese, North Indian",300
"Makana Tower, Tavarekere Main Road",Ashirvaad Grand,Yes,No,4.0,113,"080 26844799
080 26847799",BTM,Quick Bites,"Masala Dosa, Panneer Butter Masala","Chinese, North Indian, South Indian",400
"1, Near BDA Complex, 14th Main Road, Sector 7, HSR, Bangalore",McDonald's,Yes,No,3.8,509,+91 8066000666,HSR,Quick Bites,"Coffee, Peri Peri Fries, Hot Chocolate, Scrambled Eggs, Donut, Grilled Chicken Wrap, Ice Tea","Burger, Fast Food",500
"14, Krishnanagara Industrial Area, Next To Christ College, Near Dairy Circle, BTM, Bangalore",Dadi's Dum Biryani,Yes,Yes,4.1,2724,"+91 7090999991
+91 7090599999",BTM,Casual Dining,"Butter Chicken, Panner Tikka, Chicken Biryani, Chicken Lollipop, Chicken Tikka Masala, Dum Biryani, Tangdi Kabab","Biryani, North Indian, Mughlai",800
"16, 17, 18/2 Sarakki Lake, 24th Main, 6th Phase, JP Nagar, Bangalore",Cheesiano Pizza,Yes,Yes,4.0,202,"+91 8043761455
+91 7678077768",JP Nagar,Quick Bites,"Pasta, Fries, Cheesiano Pizza, Veggie Pizza, Cheesy Garlic Bread, Peri Peri Paneer Pizza","Pizza, Italian",700
"24, 1st D Main, Jakkasandra, Koramangala 1st block.",Potful,Yes,No,3.9,160,080 49653572,Koramangala 4th Block,Delivery,Hyderabadi Mutton Biryani,"Biryani, Kebab, Rolls, Mughlai",650
"9th Main Road, Sector 6, HSR, Bangalore",Sri Udupi Park,Yes,No,4.0,64,+91 9632765444,HSR,Casual Dining,Tea,"South Indian, North Indian, Chinese, Beverages",300
"9 Roopenagrahara, Behind Mahendra showroom, Bommanahalli, Bangalore",Biryani Junction,Yes,No,2.3,298,"+91 7259100504
+91 7259100489",Bommanahalli,Quick Bites,"Raita, Vegetable Biryani, Biryani Combo","Biryani, North Indian, Chinese",450
"L 147, Lakshmi Chambers, 5th Main Road, 6th Sector, HSR, Bangalore",Aasife & Brothers Biriyani Centre,Yes,No,3.8,120,080 49652512,HSR,Casual Dining,"Biryani, Fried Rice, Fish, Chicken Lollipop","Biryani, North Indian, South Indian, Chinese",600
"143, Munireddy Kalyana Mantapa Road, Koramangala 5th Block, Bangalore",Thalassery Restaurant,Yes,No,3.6,382,"+91 9747616175
+91 9562362711",Koramangala 5th Block,Casual Dining,"Tea, Fish, Thalassery Biryani, Garlic Naan, Chicken Curry, Ghee Rice, Sea Food","Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600
"503, 6th Cross Road, Koramangala 6th Block, Bangalore",Podi Idly,Yes,No,4.3,650,080 41330399,Koramangala 6th Block,Quick Bites,"Podi Idli, Masala Dosa, Pongal, Coffee, Mini Idlis, Appam, Raagi Dosa",South Indian,250
"19 D Cross, 7th Main, BTM, Bangalore",Amontron,Yes,No,3.9,438,+91 9742326196,BTM,Casual Dining,"Katla Kalia, Basanti Pulao, Biryani, Aloo Posto, Mutton Kosha, Ilish, Mutton Dak Bunglow",Bengali,650
"28, 1st Cross, Maruthi Nagar, Madiwala, BTM, Bangalore",Savoury - Sea Shell Restaurant,Yes,No,3.9,467,"080 49994999
080 49994999",BTM,Casual Dining,"Pulpy Grape Juice, Chicken Grill, Tandoori Chicken, Shawarma Roll, Bbq Chicken, Mutton Biryani, Tomato Soup","Arabian, North Indian, Chinese, Fast Food",550
"17, Janaki Plaza, Koramangala 6th Block, Bangalore",Grow Fit,Yes,No,4.0,457,080 39658868,Koramangala 6th Block,Delivery,"Pizza, Brownie, Chicken Biryani","Healthy Food, North Indian, Thai",500
"Near McDonald's, 4th Block, Jayanagar, Bangalore",SL Vadapav,Yes,No,4.0,79,+91 9900597313,Jayanagar,Quick Bites,"Dabeli, Samosa, Tawa Pulav, Cheese Vada Pav",Maharashtrian,100
"176, 1st Floor, Above Vodafone Store, Opposite Brand Factory, Bannerghatta Road, Bangalore",Kundana,Yes,No,3.7,111,080 49652729,Bannerghatta Road,Casual Dining,"Lemon Chicken, Chicken Dum Biryani, Mutton Biryani","Andhra, Biryani",800
"633/B555, Panduranga Nagar, Near Arekere Gate, Bannerghatta Road, Bangalore",Hyderabadi Bawarchi,Yes,No,3.2,136,"+91 7829488222
+91 7829588222",Bannerghatta Road,Casual Dining,"Raita, Vegetable Biryani, Hyderabadi Biryani, Chicken Curry, Chicken Biryani","North Indian, Chinese, Biryani",500
"3, Opposite Sagar Hospital, Tilak Nagar, Jayanagar, Bangalore",Vijayalakshmi Veg,Yes,No,3.9,97,080 49653105,Jayanagar,Quick Bites,"Vada, Rava Idli, Masala Dosa, Coffee",South Indian,200
"806, Ground Floor, PGR Tower, 19th Main Road, Sector 2, Near Cambridge School, HSR, Bangalore",Kanti Sweets,Yes,No,3.8,151,"080 25726125
080 49726500",HSR,"Sweet Shop, Quick Bites","Rasmalai, Kheer Kadam","Mithai, Street Food",400
"18, 4th Cross, 4th Link Road, Maruthi Nagar, Madiwala, 1st Stage, BTM, Bangalore",Hyderabadi Biryani Hub,Yes,No,3.6,218,"+91 7259015811
+91 8722620990",BTM,Casual Dining,"Biryani, Raita","Biryani, North Indian, Chinese",600
"Vega City Mall, 3rd Floor, Bannerghatta Road, Bangalore",Galito's,Yes,No,4.6,406,+91 8067922374,Bannerghatta Road,Casual Dining,"Chicken Grill, Garlic Bread, Mocktails, Burgers, Fries, Salads, Pudding","African, Burger","1,000"
"1090, 18th Cross Road, Sector 3, HSR, Bangalore",Sangam Sweets,Yes,No,3.9,148,+91 7022340879,HSR,Sweet Shop,"Pav Bhaji, Chaat, Paratha, Panipuri, Chole Bhature, Dhokla, Dahi Bhalle","Mithai, Street Food",200
"125, Jyoti Nivas College Road, KHB Colony, Koramangala 5th Block, Bangalore",Dosa Plaza,Yes,No,3.8,139,080 49653350,Koramangala 5th Block,Quick Bites,Masala Dosa,"South Indian, North Indian, Chinese, Beverages",200
"67/7, 1st Floor, Roopena Agrahara, Opposite Mahindra Showroom, Hosur Road, Bangalore",Sardarji Ka Dhaba,Yes,No,4.0,750,"+91 9513530530
+91 9513530530",Hosur Road,Quick Bites,"Lassi, Punjabi Chicken, Paratha, Kadhai Murgh, Butter Naan, Lemon Chicken, Roti",North Indian,250
"22, B.H.B.C.S Layout, Opposite Infosys, 2nd Stage, BTM, Bangalore",Chokha Chowka,Yes,No,3.9,357,"+91 8045128659
+91 7204304000",BTM,Quick Bites,"Chaat, Samosa, Thali, Sweet Lassi, Biryani, Egg Roll, Masala Paneer","North Indian, Chinese",400
"G 6, Ground Floor, Money Centre, 80 Feet Road, 7th Block, Koramangala 7th Block, Bangalore",Mad Over Donuts,Yes,No,4.2,702,"+91 8033166397
+91 8067266398",Koramangala 7th Block,Dessert Parlor,"Donut, Latte, Coffee, Choco Bomb, Hot Chocolate, Waffles, Cappuccino","Bakery, Desserts, Beverages",450
"1053, 1st Floor, Above Natural's Salon, 80 Feet Road, Koramangala 3rd Block, Bangalore",Mustard Cafe,Yes,No,4.1,888,"+91 8040940831
+91 8606621987",Koramangala 3rd Block,Cafe,"Mushroom Bruschettas, Mocktails, Blueberry Smoothie, Opera Cake, Beef Burger, Pasta Arrabiata, Burgers","Cafe, Continental, Burger, Salad, Healthy Food, Italian",800
"404, 1st Cross, Koramangala 7th Block, Bangalore",ONE IN A MELON,Yes,No,4.1,414,+91 7406611666,Koramangala 7th Block,"Beverage Shop, Quick Bites","Sandwiches, Fruit Juices, Chaat, Paneer Sandwich, Watermelon Juice, Cheese Sandwich","Juices, Healthy Food",300
"54/A, 24th Main Road, 2nd Phase, JP Nagar, Bangalore",Cakewala,Yes,No,4.1,230,080 42066037,JP Nagar,Bakery,"Brownie, Veg Puff, Chocolate Truffle, Chocolava, Choco Truffle, Chocolate Cake","Bakery, Desserts",500
"4, 1st Main, Koramangala 1st Block, Bangalore",Chaiwala,Yes,No,3.1,53,+91 8095855997,Koramangala 1st Block,Quick Bites,"Poha, Bread Omelette, Ginger Chai, Ginger Tea",Fast Food,100
"234/A, 1st Main, Koramangala 7th Block, Bangalore",Arya Hungry?,Yes,No,4.3,277,"+91 7899337350
+91 9538079486",Koramangala 7th Block,Quick Bites,"Kulcha, Chole, Mutton Curry, Paratha, Mint Raita, Chicken Curry, Dal Makhani",North Indian,450
"123, 24th Main, Opposite Royal High School, 5th Phase, JP Nagar, Bangalore",Amritsari Kulcha Land,Yes,No,4.0,260,"+91 8884449474
+91 7986965273",JP Nagar,Quick Bites,"Lassi, Amritsari Kulcha, Punjabi Kulcha, Paneer Kulcha, Punjabi Chole, Aloo Kulcha, Paratha",North Indian,300
"19th Main Road, Sector 2, HSR, Bangalore",Khai Khai,Yes,No,3.9,50,+91 7619207120,HSR,Quick Bites,"Mutton Kosha, Kosha Mangsho",Bengali,450
"89, 17th Main Road, HSR, Bangalore",Cream Stone,Yes,No,4.1,1022,"+91 8064568822
+91 8553666666",HSR,Dessert Parlor,"Nutella Brownie, Fruit Ice Cream, Ferrero Rocher Ice Cream, Chocolava, Hot Chocolate Fudge, Mango Ice Cream, Waffles","Desserts, Beverages",500
"Opposite SBI Building, Near Oracle Building, Thavarekere Main Road, Koramangala 7th Block, Bangalore",Paisa Vasool,Yes,No,3.3,394,+91 9718221004,Koramangala 7th Block,Quick Bites,"Fish Thali, Aloo Paratha",North Indian,400
"1018, 80 Feet Road, Near Wipro Tech Park, 1st Block, Koramangala 1st Block, Bangalore",Sharma's Malai & Masala,Yes,No,4.0,457,"+91 7009006979
080 40926677",Koramangala 1st Block,Casual Dining,"Chicken Biryani, Kulcha, Chicken Chatpata, Panneer Butter Masala, Paneer Lababdar, Tandoori Chicken, Shahi Paneer",North Indian,550
"170, Sector 7, 9th Main Road, HSR, Bangalore",Howlin Wolf,Yes,No,4.1,93,+91 7795839478,HSR,Casual Dining,"Chicken Steak, Burgers, Pizza, Salad, Fries, Garlic Bread, Chicken Nuggets","Italian, Mediterranean, European, Sandwich",700
"1478/1, 18th Main, 40th Cross, 4th T Block, Jayanagar, Bangalore",Tummy Fuel,Yes,No,4.2,450,"+91 9008558558
+91 9845792610",Jayanagar,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes","Cafe, Beverages, Fast Food",400
"Shop 1, 9th Main, 5th Cross Sector 6, Near Lawrence School, HSR Layout, HSR, Bangalore",Bubble Bee,Yes,No,3.9,45,080 49652716,HSR,Dessert Parlor,"Bubble Tea, Waffles, Blueberry Cheesecake","Beverages, Bubble Tea, Desserts",400
"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",Firangi Bake,Yes,No,4.0,96,+91 7710090007,Bannerghatta Road,Delivery,Lasagne,"Mexican, Italian",600
"155, Lucky Elite, Kumarans R.V. Arcade, 9th Main Road, Opposite Lawrence School, Sector 6, HSR, Bangalore",Hotel Junior Kuppanna,Yes,No,3.1,266,+91 8041633030,HSR,Casual Dining,"Chicken Curry, Mutton Biryani, Paratha, Kothu Parotta, Mutton Fry, Pallipalayam Chicken, Chicken Biryani","Chettinad, South Indian",550
"521/A, 21st Cross, 19th Main, Near BSR Mantralaya, Sector 3, HSR, Bangalore",Cafe Madhura,Yes,No,3.8,59,+91 9886666380,HSR,Quick Bites,"Idli, Coffee, Vada",South Indian,200
"57, 12th Main Road, 6th Sector, Behind BDA Complex, HSR, Bangalore",The Rasaganga,Yes,No,3.9,163,+91 8197399958,HSR,Quick Bites,"Coffee, Dahi Vada, Chaat","South Indian, North Indian, Chinese, Street Food",300
"291/2, Near Lawrence School, Sector 6, Behind BDA Complex, HSR, Bangalore",HSR Agarval Bhavan,Yes,No,3.2,68,+91 9379912345,HSR,Casual Dining,"Tea, Chole Bhature, Kachori","South Indian, Street Food, Fast Food, Desserts, Beverages",400
"18, Ground Floor, 7th Main, 80ft Road, Koramangala 1st Block, Bangalore",The Pancake Story,Yes,No,4.6,117,080 49653454,Koramangala 1st Block,Dessert Parlor,"Pancakes, Waffles, Popcorn, Nachos, Tea, Savoury Crepe, Hot Chocolate","Desserts, Beverages",300
"14 & 15,1st Cross, 5th Main, Madeena Nagar, HSR Layout, 7th Sector, HSR, Bangalore",Samosa Singh,Yes,No,4.0,326,"+91 9148998212
+91 9108857349",HSR,Delivery,"Chicken Keema Samosa, Aloo Samosa, Manchurian Samosa, Paneer Samosa","Street Food, Fast Food, Rolls, Desserts",200
"178/10, 3rd B Cross, Venkatapura Main Road, Koramangala 1st Block, Bangalore",Vegan Heat,Yes,No,4.1,313,080 48513973,Koramangala 1st Block,"Takeaway, Delivery","Burgers, Pancakes, Waffles, Salad","Healthy Food, Salad",650
"11, Opposite Sobha Tulip Apartments, 5th Phase, JP Nagar, Bangalore",Chaatimes,Yes,No,3.8,101,+91 8884262266,JP Nagar,Quick Bites,"Chaat, Pav Bhaji, Panipuri, Basket Chat, Mango Lassi, Sev Puri, Misal","Street Food, Fast Food",200
"436, 18th Main, 80 Feet Road, Koramangala 6th Block, Bangalore",Zee5 Loft,Yes,No,4.4,351,080 49653381,Koramangala 6th Block,Cafe,"Tomato Soup, Salad, Pizza, Brownie Shake, Chicken Bbq Wings, Fries, Pasta","Cafe, North Indian, Pizza, Sandwich, Salad",500
"16th Main Road, 1st Stage, 1st Phase, BTM, Bangalore",Dwaraka Krishna,Yes,No,3.7,327,"+91 9538833223
+91 9742044034",BTM,"Takeaway, Delivery","Biryani, Shahi Paneer","North Indian, Biryani, Chinese",500
"18-30, 60 Feet Road, 6th Block, Koramangala, Bangalore",Delite Chaat House,Yes,No,3.9,498,080 49652649,Koramangala 6th Block,Quick Bites,"Chaat, Dabeli, Pav Bhaji, Dhokla, Gujarati Food, Jalebi, Panipuri","Street Food, Gujarati",300
"725,16th Main, 2nd Stage, BTM, Bangalore",Gorbandh,Yes,No,4.0,84,080 49652562,BTM,Quick Bites,"Aloo Paratha, Samosa, Kachori, Poha, Chaat","Fast Food, North Indian",400
"11, 42nd, A Cross Road, 5th Block, Jayanagar, Bangalore",Protein Grillhouse,Yes,Yes,4.2,174,080 49652878,Jayanagar,Casual Dining,"Rice Bowl, Salads, Burgers, Salad, Prawn, Pancakes, Salmon","Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800
"4, 1st Main, Koramangala 1st Block, Bangalore",ReFresh Juice Junction,Yes,No,4.1,57,+91 9738510375,Koramangala 1st Block,"Beverage Shop, Quick Bites","Pasta, Burgers, Sandwiches","Juices, Fast Food",200
"439, 8th Main Road, Koramangala 4th Block, Bangalore",Occasions,Yes,No,4.3,189,"080 48909425
+91 9322728728",Koramangala 4th Block,Bakery,"Cup Cake, Chocolate Truffle, Dutch Truffle, Blueberry Cheesecake","Bakery, Desserts",400
"1, Nirmala Mansion, 4th Cross, 17th A Main, 60 Feet Road, Koramangala 5th Block, Bangalore",Nuts Over Salads Cafe,Yes,Yes,4.4,197,"080 25533344
+91 7019629831",Koramangala 5th Block,Cafe,"Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie","Cafe, Salad",800
"3, Third Floor, Vega City Mall, Bannerghatta Road, Bangalore",Cold Stone Creamery,Yes,No,3.9,101,080 67922488,Bannerghatta Road,Dessert Parlor,"Brownie, Chocolate Devotion, Icecream Cake, Cotton Candy Ice Cream, Coffee, Strawberry Smoothie","Ice Cream, Desserts",400
"43, Krishna Nagar, SG Pallya Road, Near Christ College, BTM, Bangalore",Malabar Bay,Yes,Yes,4.1,1541,"+91 8033037820
+91 7829999500",BTM,Casual Dining,"Panneer Butter Masala, Chicken Tikka, Mutton Curry, Paneer Tikka, Appam, Roast Chicken, Kerala Parotta","Kerala, Seafood, Chinese, Biryani, Juices",800
"36, 12th Main, 27th Cross , 4th Block, Jayanagar, Bangalore",Vakulaa Veg Restaurant,Yes,No,3.9,50,080 26659009,Jayanagar,Quick Bites,"Masala Dosa, Coffee, Pongal, Tea, Bonda","South Indian, North Indian",200
"52, Industrial Layout, 5th Block, Opposite Jyoti Nivas College Main Gate, Koramangala 5th Block, Bangalore",Tibetan Kitchen,Yes,No,4.3,245,080 25524435,Koramangala 5th Block,Quick Bites,"Noodles, Pasta, Tibetan Momos, Clear Soup, Chicken Momo, Tibetan Thukpa, Tea","Tibetan, Chinese, Continental, Momos",600
"447, Ground Floor, 17th Cross, Sector 4, HSR, Bangalore",The Egg Factory,Yes,No,4.0,136,"080 49777725
+91 9606867098",HSR,Casual Dining,"Shakshouka, Kothu Paratha, Scrambled Eggs, Pasta, English Breakfast, Cheese Omelette, Masala Omelette","Continental, American",750
"11, Near Aiyappa Temple, Madivala, BTM, Bangalore",Kairali,Yes,No,3.9,170,+91 9844034033,BTM,Quick Bites,"Beef Fry, Fish Fry, Appam, Masala Prawn, Egg Roast, Chicken Curry, Biryani","Kerala, South Indian, Seafood, Biryani",300
"Dalmiya Circle, 100 Feet Road, 5th Phase, JP Nagar, Bangalore",Polar Bear,Yes,No,4.2,213,080 49653078,JP Nagar,Dessert Parlor,"Faluda, Brownie Fudge, Waffles, Sandwich, Hot Chocolate Fudge, Crepe, Sandwiches","Ice Cream, Desserts, Beverages, Sandwich",400
"First Floor, First Cross, Besides Bosch, Koramangala 7th Block, Bangalore",Healthie,Yes,No,3.9,106,"080 41202278
+91 7829745705",Koramangala 7th Block,Delivery,"Chicken Grill, Sandwich","Healthy Food, Beverages",600
"70/1, 4th Cross, 17B Main Road, KHB Block, Koramangala 5th Block, Bangalore",Tapri By The Corner,Yes,No,4.1,205,+91 7349385173,Koramangala 5th Block,Quick Bites,"Tea, Chole, Khichda, Butter Paneer, Paneer Bhurji, Paratha, Masala Chai",Fast Food,250
"32, 16th Main Road, 1st Cross, Mahadeshwara Nagar, BTM 2nd Stage, Bangalore",The Bong Palate,Yes,No,3.8,60,"+91 6363053927
+91 9886076868",BTM,Quick Bites,"Mutton Kosha, Basanti Pulao, Chicken Biryani","Bengali, North Indian, Chinese",300
"29, Tavakere Main Road, Behind Forum Mall, Koramangala, Bangalore",Pin Me Down,Yes,Yes,4.5,799,"+91 8861568945
+91 8178831745",BTM,Casual Dining,"Paneer Tikka, Pizza, Chowmein, Mocktails, Tandoori Aloo, Pasta Alfredo, Murgh Patiala","Continental, Mexican, Chinese, North Indian",800
"Anda Ka Funda, Kavery layout, Near Ayyappa temple, Taverekere main road, Bangalore, 260029",Anda Ka Funda,Yes,No,3.2,64,+91 9902666308,BTM,Quick Bites,"Paratha, Rolls, Roti","North Indian, Chinese, Rolls",250
"950, 16th Main Road, 2nd Stage, BTM, Bangalore",Punjabi Swag,Yes,No,3.9,670,"+91 9902920892
+91 9902820893",BTM,Casual Dining,"Lassi, Murgh Lababdar, Makke Ki Roti, Chaap, Butter Paneer, Butter Chicken, Patiala Paneer",North Indian,500
"The Mylapore Cafe 29, 5th Main Teachers Colony Koramangala Block 1 Bangalore 560034",The Mylapore Cafe,Yes,No,4.1,119,080 41472414,HSR,Quick Bites,"Masala Dosa, Pongal, Filter Coffee, Tea, Idli","South Indian, Kerala",200
"156, 2nd Floor, Jakksandra, Koramangala 1st Block, Bangalore",Tetto,Yes,No,3.7,130,"+91 8025634444
+91 8861036118",Koramangala 1st Block,"Casual Dining, Bar","Burgers, Cocktails, Mushroom Nuggets, Draught Beer, Fish Fingers",Continental,"1,200"
"140/C, 15th Main, Opposite Chinmaya School, Koramangala 4th Block, Bangalore",Bite Me Cupcakes,Yes,No,4.1,189,"+91 7259032026
+91 8197810123",Koramangala 4th Block,Dessert Parlor,"Cup Cake, Chocolate Cake",Desserts,300
"954, 24th Cross, 2nd Phase, JP Nagar, Bangalore",Taaza Mithai,Yes,No,3.8,47,"080 22977704
+91 9731424222",JP Nagar,Sweet Shop,Samosa,"Mithai, Street Food",100
"30, Koramangala 5th Block, Bangalore",Makers of Milkshakes,Yes,No,4.1,55,+91 7411568300,Koramangala 5th Block,Beverage Shop,"Vanilla Ice Cream, Chocolate Milkshake",Beverages,400
"188, 2nd Main, 8th Cross, ITI Layout, Yellukunte Village, HSR, Bangalore",Mirch,Yes,No,3.7,94,080 49652868,HSR,Quick Bites,"Paneer Biryani, Naan","North Indian, Biryani",400
"36, 20th Main, 1st Stage, BTM, Bangalore",Pappu Chaiwalla,Yes,No,3.1,89,080 49721444,BTM,Quick Bites,"Ginger Chai, Ginger Tea, Pakoda, Paratha, Maggi, Pav Bhaji, Sulemani Chai","North Indian, Momos, Rolls, Fast Food",350
"18, Shreenidhi Arcade, Maruthi Nagar Main Road, Madiwala, BTM, Bangalore",El Salver,Yes,Yes,3.9,74,+91 9916802277,BTM,Casual Dining,Fish Curry,"Biryani, Chinese, Continental, North Indian, Kerala, South Indian",700
"154, Blue Moon Login, 9th Main Road, Sector 6, HSR, Bangalore",GKT Biryani World,Yes,No,3.7,83,"+91 9611333704
+91 8884939137",HSR,Quick Bites,"Pizza, Chicken Biryani","Biryani, Italian, BBQ",350
"132, 17th A Main, Koramangala 5th Block, Bangalore",Beer Adda,Yes,Yes,4.2,541,080 45128825,Koramangala 5th Block,"Casual Dining, Pub","Sea Food, Burgers, Onion Rings, Non Veg Thali, Craft Beer, Roti, Pizza","North Indian, Chinese, Pizza","1,000"
"65, 5th Main Road, Teacher's Colony, Jakkasandra, HSR Layout 5th Sector, Koramangala 1st Block, Bangalore",Chowpatty,Yes,No,3.6,95,+91 9137367474,Koramangala 1st Block,Quick Bites,"Pav Bhaji, Dabeli, Paratha, Raj Kachori, Vada Pav","North Indian, Fast Food, Street Food",300
"118, Koramangala Industrial Area, Koramangala 7th Block, Bangalore",Koramangala Social,Yes,No,4.6,4650,"080 43723295
080 43723095",Koramangala 7th Block,Lounge,"Manchow Soup, Caramel Custard, Cocktails, Bbq Platter, Pork Ribs, Mocktails, Paratha","American, North Indian, Chinese, Finger Food","1,500"
"16, 17th A Main, Koramangala 5th Block, Bangalore",1000 B.C,Yes,No,3.2,49,+91 9620946663,Koramangala 5th Block,Quick Bites,"Shawarma, Sandwiches","Arabian, Sandwich, Rolls, Burger",300
"213, Opposite Bosch Gate, Saibaba Temple Road, 1st Main, Koramangala 7th Block, Bangalore",Min Mini Punjabi Dhaba,Yes,No,3.9,85,+91 9243493482,Koramangala 7th Block,Quick Bites,"Dal Makhani, Amritsari Kulcha",North Indian,400
