NAME,NOC,SPORTS,EVENT,MEDAL
OFTEBRO Jens Luraas, Norway,Nordic Combined,Individual Gundersen Large Hill/10km,Silver
FAISST Manuel, Germany,Nordic Combined,Team Gundersen Large Hill/4x5km,Silver
FRENZEL Eric, Germany,Nordic Combined,Team Gundersen Large Hill/4x5km,Silver
GEIGER Vinzenz, Germany,Nordic Combined,Team Gundersen Large Hill/4x5km,Silver
SCHMID Julian, Germany,Nordic Combined,Team Gundersen Large Hill/4x5km,Silver
GRAABAK Joergen, Norway,Nordic Combined,Individual Gundersen Normal Hill/10km,Silver
LI Wenlong, People's Republic of China,Short Track Speed Skating,Men's 1000m,Silver
DUBOIS Steven, Canada,Short Track Speed Skating,Men's 1500m,Silver
HWANG Daeheon, Republic of Korea,Short Track Speed Skating,Men's 5000m Relay,Silver
KIM Dongwook, Republic of Korea,Short Track Speed Skating,Men's 5000m Relay,Silver
KWAK Yoongy, Republic of Korea,Short Track Speed Skating,Men's 5000m Relay,Silver
LEE Juneseo, Republic of Korea,Short Track Speed Skating,Men's 5000m Relay,Silver
PARK Janghyuk, Republic of Korea,Short Track Speed Skating,Men's 5000m Relay,Silver
IVLIEV Konstantin, ROC,Short Track Speed Skating,Men's 500m,Silver
CHOI Minjeong, Republic of Korea,Short Track Speed Skating,Women's 1000m,Silver
FONTANA Arianna, Italy,Short Track Speed Skating,Women's 1500m,Silver
CHOI Minjeong, Republic of Korea,Short Track Speed Skating,Women's 3000m Relay,Silver
KIM A Lang, Republic of Korea,Short Track Speed Skating,Women's 3000m Relay,Silver
LEE Yubin, Republic of Korea,Short Track Speed Skating,Women's 3000m Relay,Silver
SEO Whimin, Republic of Korea,Short Track Speed Skating,Women's 3000m Relay,Silver
SCHULTING Suzanne, Netherlands,Short Track Speed Skating,Women's 500m,Silver
CASSINELLI Andrea, Italy,Short Track Speed Skating,Mixed Team Relay,Silver
CONFORTOLA Yuri, Italy,Short Track Speed Skating,Mixed Team Relay,Silver
FONTANA Arianna, Italy,Short Track Speed Skating,Mixed Team Relay,Silver
SIGHEL Pietro, Italy,Short Track Speed Skating,Mixed Team Relay,Silver
VALCEPINA Arianna, Italy,Short Track Speed Skating,Mixed Team Relay,Silver
VALCEPINA Martina, Italy,Short Track Speed Skating,Mixed Team Relay,Silver
JUNGK Axel, Germany,Skeleton,Men,Silver
NARRACOTT Jaclyn, Australia,Skeleton,Women,Silver
KOBAYASHI Ryoyu, Japan,Ski Jumping,Men's Large Hill Individual,Silver
KOS Lovro, Slovenia,Ski Jumping,Men's Team,Silver
PREVC Cene, Slovenia,Ski Jumping,Men's Team,Silver
PREVC Peter, Slovenia,Ski Jumping,Men's Team,Silver
ZAJC Timi, Slovenia,Ski Jumping,Men's Team,Silver
FETTNER Manuel, Austria,Ski Jumping,Men's Normal Hill Individual,Silver
ALTHAUS Katharina, Germany,Ski Jumping,Women's Normal Hill Individual,Silver
AVVAKUMOVA Irina, ROC,Ski Jumping,Mixed Team,Silver
KLIMOV Evgeniy, ROC,Ski Jumping,Mixed Team,Silver
MAKHINIA Irma, ROC,Ski Jumping,Mixed Team,Silver
SADREEV Danil, ROC,Ski Jumping,Mixed Team,Silver
ROISLAND Mons, Norway,Snowboard,Men's Snowboard Big Air,Silver
JAMES Scotty, Australia,Snowboard,Men's Snowboard Halfpipe,Silver
MASTNAK Tim, Slovenia,Snowboard,Men's Parallel Giant Slalom,Silver
GRONDIN Eliot, Canada,Snowboard,Men's Snowboard Cross,Silver
SU Yiming, People's Republic of China,Snowboard,Men's Snowboard Slopestyle,Silver
SADOWSKI SYNNOTT Zoi, New Zealand,Snowboard,Women's Snowboard Big Air,Silver
CASTELLET Queralt, Spain,Snowboard,Women's Snowboard Halfpipe,Silver
ULBING Daniela, Austria,Snowboard,Women's Parallel Giant Slalom,Silver
TRESPEUCH Chloe, France,Snowboard,Women's Snowboard Cross,Silver
MARINO Julia, United States of America,Snowboard,Women's Snowboard Slopestyle,Silver
MOIOLI Michela, Italy,Snowboard,Mixed Team Snowboard Cross,Silver
VISINTIN Omar, Italy,Snowboard,Mixed Team Snowboard Cross,Silver
ROEST Patrick, Netherlands,Speed Skating,Men's 10000m,Silver
DUBREUIL Laurent, Canada,Speed Skating,Men's 1000m,Silver
KROL Thomas, Netherlands,Speed Skating,Men's 1500m,Silver
ROEST Patrick, Netherlands,Speed Skating,Men's 5000m,Silver
CHA Min Kyu, Republic of Korea,Speed Skating,Men's 500m,Silver
CHUNG Jae Won, Republic of Korea,Speed Skating,Men's Mass Start,Silver
ALDOSHKIN Daniil, ROC,Speed Skating,Men's Team Pursuit,Silver
TROFIMOV Sergei, ROC,Speed Skating,Men's Team Pursuit,Silver
ZAKHAROV Ruslan, ROC,Speed Skating,Men's Team Pursuit,Silver
LEERDAM Jutta, Netherlands,Speed Skating,Women's 1000m,Silver
TAKAGI Miho, Japan,Speed Skating,Women's 1500m,Silver
LOLLOBRIGIDA Francesca, Italy,Speed Skating,Women's 3000m,Silver
WEIDEMANN Isabelle, Canada,Speed Skating,Women's 5000m,Silver
TAKAGI Miho, Japan,Speed Skating,Women's 500m,Silver
BLONDIN Ivanie, Canada,Speed Skating,Women's Mass Start,Silver
SATO Ayano, Japan,Speed Skating,Women's Team Pursuit,Silver
TAKAGI Miho, Japan,Speed Skating,Women's Team Pursuit,Silver
TAKAGI Nana, Japan,Speed Skating,Women's Team Pursuit,Silver
CRAWFORD James, Canada,Alpine Skiing,Men's Alpine Combined,Bronze
MAYER Matthias, Austria,Alpine Skiing,Men's Downhill,Bronze
FAIVRE Mathieu, France,Alpine Skiing,Men's Giant Slalom,Bronze
KILDE Aleksander Aamodt, Norway,Alpine Skiing,Men's Super-G,Bronze
FOSS-SOLEVAAG Sebastian, Norway,Alpine Skiing,Men's Slalom,Bronze
BRIGNONE Federica, Italy,Alpine Skiing,Women's Alpine Combined,Bronze
DELAGO Nadia, Italy,Alpine Skiing,Women's Downhill,Bronze
GUT-BEHRAMI Lara, Switzerland,Alpine Skiing,Women's Giant Slalom,Bronze
GISIN Michelle, Switzerland,Alpine Skiing,Women's Super-G,Bronze
HOLDENER Wendy, Switzerland,Alpine Skiing,Women's Slalom,Bronze
HAUGAN Timon, Norway,Alpine Skiing,Mixed Team Parallel,Bronze
HOLTMANN Mina Fuerst, Norway,Alpine Skiing,Mixed Team Parallel,Bronze
SOLHEIM Fabian Wilkens, Norway,Alpine Skiing,Mixed Team Parallel,Bronze
STJERNESUND Thea Louise, Norway,Alpine Skiing,Mixed Team Parallel,Bronze
TVIBERG Maria Therese, Norway,Alpine Skiing,Mixed Team Parallel,Bronze
WINDINGSTAD Rasmus, Norway,Alpine Skiing,Mixed Team Parallel,Bronze
BOE Tarjei, Norway,Biathlon,Men's 10km Sprint,Bronze
LATYPOV Eduard, ROC,Biathlon,Men's 12.5km Pursuit,Bronze
CHRISTIANSEN Vetle Sjaastad, Norway,Biathlon,Men's 15km Mass Start,Bronze
BOE Johannes Thingnes, Norway,Biathlon,Men's 20km Individual,Bronze
KHALILI Said Karimulla, ROC,Biathlon,Men's 4x7.5km Relay,Bronze
LATYPOV Eduard, ROC,Biathlon,Men's 4x7.5km Relay,Bronze
LOGINOV Alexander, ROC,Biathlon,Men's 4x7.5km Relay,Bronze
TSVETKOV Maxim, ROC,Biathlon,Men's 4x7.5km Relay,Bronze
ECKHOFF Tiril, Norway,Biathlon,Women's 10km Pursuit,Bronze
ROEISELAND Marte Olsbu, Norway,Biathlon,Women's 12.5km Mass Start,Bronze
ROEISELAND Marte Olsbu, Norway,Biathlon,Women's 15km Individual,Bronze
HERRMANN Denise, Germany,Biathlon,Women's 4x6km Relay,Bronze
HINZ Vanessa, Germany,Biathlon,Women's 4x6km Relay,Bronze
PREUSS Franziska, Germany,Biathlon,Women's 4x6km Relay,Bronze
VOIGT Vanessa, Germany,Biathlon,Women's 4x6km Relay,Bronze
WIERER Dorothea, Italy,Biathlon,Women's 7.5km Sprint,Bronze
LATYPOV Eduard, ROC,Biathlon,Mixed Relay 4x6km (W+M),Bronze
LOGINOV Alexander, ROC,Biathlon,Mixed Relay 4x6km (W+M),Bronze
NIGMATULLINA Uliana, ROC,Biathlon,Mixed Relay 4x6km (W+M),Bronze
REZTSOVA Kristina, ROC,Biathlon,Mixed Relay 4x6km (W+M),Bronze
HAFER Christoph, Germany,Bobsleigh,2-man,Bronze
SOMMER Matthias, Germany,Bobsleigh,2-man,Bronze
COAKWELL Benjamin, Canada,Bobsleigh,4-man,Bronze
KRIPPS Justin, Canada,Bobsleigh,4-man,Bronze
SOMMER Ryan, Canada,Bobsleigh,4-man,Bronze
STONES Cam, Canada,Bobsleigh,4-man,Bronze
de BRUIN Christine, Canada,Bobsleigh,Women's Monobob,Bronze
HOFFMAN Sylvia, United States of America,Bobsleigh,2-woman,Bronze
MEYERS TAYLOR Elana, United States of America,Bobsleigh,2-woman,Bronze
KLAEBO Johannes Hoesflot, Norway,Cross-Country Skiing,Men's 15km Classic,Bronze
JOUVE Richard, France,Cross-Country Skiing,Men's 4 x 10km Relay,Bronze
LAPALUS Hugo, France,Cross-Country Skiing,Men's 4 x 10km Relay,Bronze
MANIFICAT Maurice, France,Cross-Country Skiing,Men's 4 x 10km Relay,Bronze
PARISSE Clement, France,Cross-Country Skiing,Men's 4 x 10km Relay,Bronze
KRUEGER Simen Hegstad, Norway,Cross-Country Skiing,Men's 50km Mass Start Free,Bronze
NISKANEN Iivo, Finland,Cross-Country Skiing,Men's 15km + 15km Skiathlon,Bronze
TERENTEV Alexander, ROC,Cross-Country Skiing,Men's Sprint Free,Bronze
BOLSHUNOV Alexander, ROC,Cross-Country Skiing,Men's Team Sprint Classic,Bronze
TERENTEV Alexander, ROC,Cross-Country Skiing,Men's Team Sprint Classic,Bronze
PARMAKOSKI Krista, Finland,Cross-Country Skiing,Women's 10km Classic,Bronze
NISKANEN Kerttu, Finland,Cross-Country Skiing,Women's 30km Mass Start Free,Bronze
ANDERSSON Ebba, Sweden,Cross-Country Skiing,Women's 4 x 5km Relay,Bronze
DAHLQVIST Maja, Sweden,Cross-Country Skiing,Women's 4 x 5km Relay,Bronze
KARLSSON Frida, Sweden,Cross-Country Skiing,Women's 4 x 5km Relay,Bronze
SUNDLING Jonna, Sweden,Cross-Country Skiing,Women's 4 x 5km Relay,Bronze
STADLOBER Teresa, Austria,Cross-Country Skiing,Women's 7.5km + 7.5km Skiathlon,Bronze
DIGGINS Jessie, United States of America,Cross-Country Skiing,Women's Sprint Free,Bronze
NEPRYAEVA Natalia, ROC,Cross-Country Skiing,Women's Team Sprint Classic,Bronze
STUPAK Yulia, ROC,Cross-Country Skiing,Women's Team Sprint Classic,Bronze
GALLANT Brett, Canada,Curling,Men,Bronze
GUSHUE Brad, Canada,Curling,Men,Bronze
KENNEDY Marc, Canada,Curling,Men,Bronze
NICHOLS Mark, Canada,Curling,Men,Bronze
WALKER Geoff, Canada,Curling,Men,Bronze
HASSELBORG Anna, Sweden,Curling,Women,Bronze
HELDIN Johanna, Sweden,Curling,Women,Bronze
KNOCHENHAUER Agnes, Sweden,Curling,Women,Bronze
MABERGS Sofia, Sweden,Curling,Women,Bronze
McMANUS Sara, Sweden,Curling,Women,Bronze
DE VAL Almida, Sweden,Curling,Mixed Doubles,Bronze
ERIKSSON Oskar, Sweden,Curling,Mixed Doubles,Bronze
UNO Shoma, Japan,Figure Skating,Men Single Skating,Bronze
SAKAMOTO Kaori, Japan,Figure Skating,Women Single Skating,Bronze
DONOHUE Zachary, United States of America,Figure Skating,Ice Dance,Bronze
HUBBELL Madison, United States of America,Figure Skating,Ice Dance,Bronze
GALLIAMOV Aleksandr, ROC,Figure Skating,Pair Skating,Bronze
MISHINA Anastasia, ROC,Figure Skating,Pair Skating,Bronze
HIGUCHI Wakaba, Japan,Figure Skating,Team Event,Bronze
KAGIYAMA Yuma, Japan,Figure Skating,Team Event,Bronze
KIHARA Ryuichi, Japan,Figure Skating,Team Event,Bronze
KOLETO Tim, Japan,Figure Skating,Team Event,Bronze
KOMATSUBARA Misato, Japan,Figure Skating,Team Event,Bronze
MIURA Riku, Japan,Figure Skating,Team Event,Bronze
SAKAMOTO Kaori, Japan,Figure Skating,Team Event,Bronze
UNO Shoma, Japan,Figure Skating,Team Event,Bronze
BUROV Ilia, ROC,Freestyle Skiing,Men's Aerials,Bronze
HARLAUT Henrik, Sweden,Freestyle Skiing,Men's Freeski Big Air,Bronze
FERREIRA Alex, United States of America,Freestyle Skiing,Men's Freeski Halfpipe,Bronze
HORISHIMA Ikuma, Japan,Freestyle Skiing,Men's Moguls,Bronze
TJADER Jesper, Sweden,Freestyle Skiing,Men's Freeski Slopestyle,Bronze
RIDZIK Sergey, ROC,Freestyle Skiing,Men's Ski Cross,Bronze
NICK Megan, United States of America,Freestyle Skiing,Women's Aerials,Bronze
GREMAUD Mathilde, Switzerland,Freestyle Skiing,Women's Freeski Big Air,Bronze
KARKER Rachael, Canada,Freestyle Skiing,Women's Freeski Halfpipe,Bronze
SMIRNOVA Anastasiia, ROC,Freestyle Skiing,Women's Moguls,Bronze
SILDARU Kelly, Estonia,Freestyle Skiing,Women's Freeski Slopestyle,Bronze
MAIER Daniela, Germany,Freestyle Skiing,Women's Ski Cross,Bronze
FONTAINE Miha, Canada,Freestyle Skiing,Mixed Team Aerials,Bronze
IRVING Lewis, Canada,Freestyle Skiing,Mixed Team Aerials,Bronze
THENAULT Marion, Canada,Freestyle Skiing,Mixed Team Aerials,Bronze
CAJKOVSKY Michal, Slovakia,Ice Hockey,Men,Bronze
CEHLARIK Peter, Slovakia,Ice Hockey,Men,Bronze
CERESNAK Peter, Slovakia,Ice Hockey,Men,Bronze
DALOGA Marek, Slovakia,Ice Hockey,Men,Bronze
DANO Marko, Slovakia,Ice Hockey,Men,Bronze
GERNAT Martin, Slovakia,Ice Hockey,Men,Bronze
HOLESINSKY Adrian, Slovakia,Ice Hockey,Men,Bronze
HRIVIK Marek, Slovakia,Ice Hockey,Men,Bronze
HUDACEK Libor, Slovakia,Ice Hockey,Men,Bronze
JURCO Tomas, Slovakia,Ice Hockey,Men,Bronze
KELEMEN Milos, Slovakia,Ice Hockey,Men,Bronze
KNAZKO Samuel, Slovakia,Ice Hockey,Men,Bronze
KONRAD Branislav, Slovakia,Ice Hockey,Men,Bronze
KRISTOF Michal, Slovakia,Ice Hockey,Men,Bronze
MARINCIN Martin, Slovakia,Ice Hockey,Men,Bronze
NEMEC Simon, Slovakia,Ice Hockey,Men,Bronze
POSPISIL Kristian, Slovakia,Ice Hockey,Men,Bronze
REGENDA Pavol, Slovakia,Ice Hockey,Men,Bronze
ROMAN Milos, Slovakia,Ice Hockey,Men,Bronze
ROSANDIC Mislav, Slovakia,Ice Hockey,Men,Bronze
RYBAR Patrik, Slovakia,Ice Hockey,Men,Bronze
SLAFKOVSKY Juraj, Slovakia,Ice Hockey,Men,Bronze
TAKAC Samuel, Slovakia,Ice Hockey,Men,Bronze
TOMEK Matej, Slovakia,Ice Hockey,Men,Bronze
ZUZIN Peter, Slovakia,Ice Hockey,Men,Bronze
HAKALA Sanni, Finland,Ice Hockey,Women,Bronze
HIIRIKOSKI Jenni, Finland,Ice Hockey,Women,Bronze
HOLOPAINEN Elisa, Finland,Ice Hockey,Women,Bronze
KARJALAINEN Sini, Finland,Ice Hockey,Women,Bronze
KARVINEN Michelle, Finland,Ice Hockey,Women,Bronze
KEISALA Anni, Finland,Ice Hockey,Women,Bronze
LAITINEN Nelli, Finland,Ice Hockey,Women,Bronze
LIIKALA Julia, Finland,Ice Hockey,Women,Bronze
MAKINEN Eveliina, Finland,Ice Hockey,Women,Bronze
NIEMINEN Petra, Finland,Ice Hockey,Women,Bronze
NISKANEN Tanja, Finland,Ice Hockey,Women,Bronze
NYLUND Jenniina, Finland,Ice Hockey,Women,Bronze
RAISANEN Meeri, Finland,Ice Hockey,Women,Bronze
RANTALA Sanni, Finland,Ice Hockey,Women,Bronze
SAVOLAINEN Ronja, Finland,Ice Hockey,Women,Bronze
SUNDELIN Sofianna, Finland,Ice Hockey,Women,Bronze
TAPANI Susanna, Finland,Ice Hockey,Women,Bronze
TULUS Noora, Finland,Ice Hockey,Women,Bronze
TUOMINEN Minnamari, Finland,Ice Hockey,Women,Bronze
VAINIKKA Viivi, Finland,Ice Hockey,Women,Bronze
VANHANEN Sanni, Finland,Ice Hockey,Women,Bronze
VESA Emilia, Finland,Ice Hockey,Women,Bronze
VIITASUO Ella, Finland,Ice Hockey,Women,Bronze
FISCHNALLER Dominik, Italy,Luge,Men's Singles,Bronze
KOLLER Lorenz, Austria,Luge,Doubles,Bronze
STEU Thomas, Austria,Luge,Doubles,Bronze
IVANOVA Tatyana, ROC,Luge,Women's Singles,Bronze
APARJODS Kristers, Latvia,Luge,Team Relay,Bronze
BOTS Martins, Latvia,Luge,Team Relay,Bronze
PLUME Roberts, Latvia,Luge,Team Relay,Bronze
TIRUMA Eliza, Latvia,Luge,Team Relay,Bronze
WATABE Akito, Japan,Nordic Combined,Individual Gundersen Large Hill/10km,Bronze
NAGAI Hideaki, Japan,Nordic Combined,Team Gundersen Large Hill/4x5km,Bronze
WATABE Akito, Japan,Nordic Combined,Team Gundersen Large Hill/4x5km,Bronze
WATABE Yoshito, Japan,Nordic Combined,Team Gundersen Large Hill/4x5km,Bronze
YAMAMOTO Ryota, Japan,Nordic Combined,Team Gundersen Large Hill/4x5km,Bronze
GREIDERER Lukas, Austria,Nordic Combined,Individual Gundersen Normal Hill/10km,Bronze
LIU Shaoang, Hungary,Short Track Speed Skating,Men's 1000m,Bronze
ELISTRATOV Semen, ROC,Short Track Speed Skating,Men's 1500m,Bronze
CASSINELLI Andrea, Italy,Short Track Speed Skating,Men's 5000m Relay,Bronze
CONFORTOLA Yuri, Italy,Short Track Speed Skating,Men's 5000m Relay,Bronze
DOTTI Tommaso, Italy,Short Track Speed Skating,Men's 5000m Relay,Bronze
SIGHEL Pietro, Italy,Short Track Speed Skating,Men's 5000m Relay,Bronze
DUBOIS Steven, Canada,Short Track Speed Skating,Men's 500m,Bronze
DESMET Hanne, Belgium,Short Track Speed Skating,Women's 1000m,Bronze
SCHULTING Suzanne, Netherlands,Short Track Speed Skating,Women's 1500m,Bronze
FAN Kexin, People's Republic of China,Short Track Speed Skating,Women's 3000m Relay,Bronze
HAN Yutong, People's Republic of China,Short Track Speed Skating,Women's 3000m Relay,Bronze
QU Chunyu, People's Republic of China,Short Track Speed Skating,Women's 3000m Relay,Bronze
ZHANG Chutong, People's Republic of China,Short Track Speed Skating,Women's 3000m Relay,Bronze
ZHANG Yuting, People's Republic of China,Short Track Speed Skating,Women's 3000m Relay,Bronze
BOUTIN Kim, Canada,Short Track Speed Skating,Women's 500m,Bronze
JASZAPATI Petra, Hungary,Short Track Speed Skating,Mixed Team Relay,Bronze
KONYA Zsofia, Hungary,Short Track Speed Skating,Mixed Team Relay,Bronze
KRUEGER John-Henry, Hungary,Short Track Speed Skating,Mixed Team Relay,Bronze
LIU Shaoang, Hungary,Short Track Speed Skating,Mixed Team Relay,Bronze
LIU Shaolin Sandor, Hungary,Short Track Speed Skating,Mixed Team Relay,Bronze
YAN Wengang, People's Republic of China,Skeleton,Men,Bronze
BOS Kimberley, Netherlands,Skeleton,Women,Bronze
GEIGER Karl, Germany,Ski Jumping,Men's Large Hill Individual,Bronze
EISENBICHLER Markus, Germany,Ski Jumping,Men's Team,Bronze
GEIGER Karl, Germany,Ski Jumping,Men's Team,Bronze
LEYHE Stephan, Germany,Ski Jumping,Men's Team,Bronze
SCHMID Constantin, Germany,Ski Jumping,Men's Team,Bronze
KUBACKI Dawid, Poland,Ski Jumping,Men's Normal Hill Individual,Bronze
KRIZNAR Nika, Slovenia,Ski Jumping,Women's Normal Hill Individual,Bronze
BOYD-CLOWES Mackenzie, Canada,Ski Jumping,Mixed Team,Bronze
LOUTITT Alexandria, Canada,Ski Jumping,Mixed Team,Bronze
SOUKUP Matthew, Canada,Ski Jumping,Mixed Team,Bronze
STRATE Abigail, Canada,Ski Jumping,Mixed Team,Bronze
PARROT Max, Canada,Snowboard,Men's Snowboard Big Air,Bronze
SCHERRER Jan, Switzerland,Snowboard,Men's Snowboard Halfpipe,Bronze
WILD Victor, ROC,Snowboard,Men's Parallel Giant Slalom,Bronze
VISINTIN Omar, Italy,Snowboard,Men's Snowboard Cross,Bronze
McMORRIS Mark, Canada,Snowboard,Men's Snowboard Slopestyle,Bronze
MURASE Kokomo, Japan,Snowboard,Women's Snowboard Big Air,Bronze
TOMITA Sena, Japan,Snowboard,Women's Snowboard Halfpipe,Bronze
KOTNIK Gloria, Slovenia,Snowboard,Women's Parallel Giant Slalom,Bronze
ODINE Meryeta, Canada,Snowboard,Women's Snowboard Cross,Bronze
COADY Tess, Australia,Snowboard,Women's Snowboard Slopestyle,Bronze
GRONDIN Eliot, Canada,Snowboard,Mixed Team Snowboard Cross,Bronze
ODINE Meryeta, Canada,Snowboard,Mixed Team Snowboard Cross,Bronze
GHIOTTO Davide, Italy,Speed Skating,Men's 10000m,Bronze
LORENTZEN Haavard Holmefjord, Norway,Speed Skating,Men's 1000m,Bronze
KIM Minseok, Republic of Korea,Speed Skating,Men's 1500m,Bronze
ENGEBRAATEN Hallgeir, Norway,Speed Skating,Men's 5000m,Bronze
MORISHIGE Wataru, Japan,Speed Skating,Men's 500m,Bronze
LEE Seung Hoon, Republic of Korea,Speed Skating,Men's Mass Start,Bronze
CEPURAN Ethan, United States of America,Speed Skating,Men's Team Pursuit,Bronze
DAWSON Casey, United States of America,Speed Skating,Men's Team Pursuit,Bronze
LEHMAN Emery, United States of America,Speed Skating,Men's Team Pursuit,Bronze
MANTIA Joey, United States of America,Speed Skating,Men's Team Pursuit,Bronze
BOWE Brittany, United States of America,Speed Skating,Women's 1000m,Bronze
de JONG Antoinette, Netherlands,Speed Skating,Women's 1500m,Bronze
WEIDEMANN Isabelle, Canada,Speed Skating,Women's 3000m,Bronze
SABLIKOVA Martina, Czech Republic,Speed Skating,Women's 5000m,Bronze
GOLIKOVA Angelina, ROC,Speed Skating,Women's 500m,Bronze
LOLLOBRIGIDA Francesca, Italy,Speed Skating,Women's Mass Start,Bronze
de JONG Antoinette, Netherlands,Speed Skating,Women's Team Pursuit,Bronze
GROENEWOUD Marijke, Netherlands,Speed Skating,Women's Team Pursuit,Bronze
SCHOUTEN Irene, Netherlands,Speed Skating,Women's Team Pursuit,Bronze
WUST Ireen, Netherlands,Speed Skating,Women's Team Pursuit,Bronze
